index,term,polarity,termFrom,termTo,context
304,reservations,2,34,46,"We were seated promptly as we had reservations, however after that the service was slow."
305,service,2,21,28,"It's really also the service, is good and the waiters are friendly."
306,waiters,2,46,53,"It's really also the service, is good and the waiters are friendly."
307,dessert,0,89,96,"The food was pretty good, but a little flavorless and the portions very small, including dessert."
308,portions,0,58,66,"The food was pretty good, but a little flavorless and the portions very small, including dessert."
309,food,2,50,54,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.
310,food,2,45,49,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service."
311,ambience,2,55,63,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service."
312,service,2,78,85,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service."
313,dinner meeting,1,82,96,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.
314,atmosphere,2,65,75,All the NYU students love this place so it makes for a fun young atmosphere.
315,food,2,4,8,The food here does a great service to the name (Cantonese that is...).
316,Cantonese,2,48,57,The food here does a great service to the name (Cantonese that is...).
317,cooking,1,34,41,"But, nothing stands out about the cooking."
318,food,2,40,44,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.
319,Prix Fixe menu,2,4,18,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
320,quantity,2,78,86,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
321,quality,2,91,98,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
322,lunch,1,27,32,I've been here 3 times for lunch and it is one of my favorites in the city.
323,eggs benedict,0,12,25,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was."
324,hollondaise sauce,0,99,116,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was."
325,brunch,1,30,36,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was."
326,oatmeal,2,39,46,"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item."
327,food,0,12,16,Too bad the food wasn't of the same heritage.
328,menu,2,4,8,"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside."
329,Chilean Sea Bass,0,46,62,"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside."
330,server,0,72,78,"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside."
331,specials,1,101,109,"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside."
332,food,2,4,8,"The food was really good, I had the onion soup and it was one of the best ever."
333,onion soup,2,36,46,"The food was really good, I had the onion soup and it was one of the best ever."
334,wine,1,62,66,"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well."
335,staff,2,144,149,"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get."
336,Dim Sum,0,112,119,"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again."
337,dinner,2,25,31,"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again."
338,roll,0,36,40,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice."
339,roll,0,60,64,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice."
340,rice,1,135,139,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice."
341,gin and tonic,1,45,58,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic."
342,tonic,1,76,81,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic."
343,dim sum,0,4,11,"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here)."
344,little dishes,0,56,69,"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here)."
345,service,1,4,11,"The service is ok, some of the people didn't get what they asked for."
346,Thai,0,27,31,If you want good authentic Thai this place is not the place to go.
347,reservation,1,22,33,I recommend getting a reservation even though we saw people seated without one.
348,Grilled Chicken special with Edamame Puree,1,46,88,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
349,roast duck,2,17,27,"If you want some roast duck, pork or chicken on rice with ginger, try them out!"
350,pork,2,29,33,"If you want some roast duck, pork or chicken on rice with ginger, try them out!"
351,chicken on rice with ginger,2,37,64,"If you want some roast duck, pork or chicken on rice with ginger, try them out!"
352,menu,0,17,21,"You order from a menu, so you leave feeling like you missed the full experience."
353,Staff,2,0,5,Staff is very accomodating.
354,reservation,1,66,77,I went to Del Frisco's Friday night with my boyfriend for an 8:00 reservation.
355,dinner,1,26,32,yourself a favor and have dinner here and see if you dont agree with me.
356,Sake,2,28,32,Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).
357,dishes,2,68,74,Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).
358,portion,1,43,50,Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).
359,food,2,4,8,"The food was terrific and the service classy, attentive, without being overbearing."
360,service,2,30,37,"The food was terrific and the service classy, attentive, without being overbearing."
361,roti rolls,2,37,47,This is an amazing place to try some roti rolls.
362,ingredients,2,6,17,Fresh ingredients and everything is made to order.
363,meal,2,49,53,"We have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them."
364,tip,2,61,64,"We have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them."
365,meat,1,51,55,"They are tasty, but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system."
366,hot dogs,2,8,16,"Try the hot dogs too, they're snappy and delicious."
367,Delivery,2,0,8,Delivery is fast too.
368,noise level,0,4,15,"The noise level was unbearable, conversation impossible."
369,Personal pans,2,0,13,Personal pans are the perfect size for those hungry nights.
